===== FORGET GATE =====
      0        1        2        3        4        5        6        7        8        9        10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49
0.572841 0.544131 0.494682 0.491160 0.447451 0.525229 0.457696 0.444971 0.504651 0.573911 0.600461 0.495227 0.533480 0.511010 0.494026 0.636619 0.464461 0.547481 0.477431 0.945922 0.519075 0.557589 0.473487 0.558507 0.559383 0.480947 0.516339 0.545502 0.543580 0.514369 0.476137 0.531834 0.473576 0.512754 0.478855 0.439900 0.530454 0.571406 0.525951 0.518473 0.453231 0.643579 0.485814 0.520174 0.567615 0.501907 0.488007 0.438858 0.488005 0.566843
0.574721 0.545089 0.494723 0.491110 0.446160 0.525746 0.456795 0.443564 0.504716 0.576245 0.602410 0.494879 0.534671 0.511116 0.493698 0.640211 0.463382 0.548046 0.477127 0.948690 0.519518 0.559293 0.472926 0.559600 0.561090 0.480134 0.516711 0.546423 0.544472 0.514525 0.475341 0.533140 0.472417 0.513087 0.478345 0.438056 0.531402 0.572867 0.526371 0.519143 0.451484 0.647238 0.484853 0.520390 0.569578 0.501701 0.487584 0.437283 0.487461 0.568154
0.576507 0.545763 0.494878 0.490359 0.445449 0.526285 0.455368 0.442388 0.504697 0.578433 0.604893 0.494607 0.535507 0.511384 0.493342 0.643875 0.462812 0.549170 0.476777 0.951556 0.520596 0.560556 0.471823 0.560818 0.562579 0.479581 0.517020 0.547352 0.545337 0.515093 0.474579 0.534158 0.471603 0.513178 0.478036 0.436628 0.532251 0.574972 0.526631 0.519818 0.450092 0.650892 0.484084 0.520527 0.570991 0.501136 0.487065 0.435756 0.486971 0.569377
0.577281 0.545666 0.495297 0.488952 0.445922 0.526368 0.453333 0.441743 0.504388 0.579708 0.607491 0.494149 0.535205 0.511696 0.492851 0.646395 0.463121 0.550685 0.476438 0.953744 0.522076 0.560820 0.470032 0.561793 0.562643 0.479416 0.517075 0.547856 0.545634 0.516132 0.474185 0.534131 0.471295 0.513016 0.478341 0.436161 0.532373 0.576562 0.526392 0.520090 0.449502 0.653091 0.483361 0.520415 0.571030 0.500318 0.486330 0.434718 0.486776 0.569785
0.578312 0.546385 0.495474 0.489032 0.444687 0.526433 0.452681 0.439953 0.504153 0.581347 0.608932 0.493850 0.535906 0.512007 0.492605 0.648720 0.462272 0.550617 0.476272 0.955522 0.522250 0.562079 0.469701 0.562734 0.563353 0.478733 0.517382 0.548493 0.546296 0.516449 0.473739 0.534986 0.470290 0.513145 0.477981 0.434766 0.532982 0.576540 0.526655 0.520204 0.448065 0.655881 0.482566 0.520614 0.572576 0.500375 0.486002 0.433468 0.486319 0.570612
0.579044 0.546667 0.495642 0.488484 0.444250 0.526565 0.451821 0.438892 0.503992 0.582438 0.610402 0.493756 0.536182 0.512392 0.492455 0.650535 0.462068 0.551096 0.476092 0.956954 0.522949 0.562626 0.469031 0.563524 0.563849 0.478431 0.517524 0.548985 0.546807 0.516998 0.473411 0.535415 0.469887 0.513042 0.477862 0.434109 0.533402 0.577251 0.526776 0.520321 0.447332 0.657969 0.482236 0.520682 0.573255 0.500104 0.485742 0.432600 0.486016 0.571225
0.579528 0.546800 0.495784 0.488000 0.443966 0.526598 0.451034 0.438000 0.503856 0.583281 0.611638 0.493614 0.536275 0.512717 0.492324 0.651952 0.461935 0.551531 0.475905 0.958071 0.523539 0.563013 0.468377 0.564156 0.564099 0.478147 0.517582 0.549337 0.547175 0.517487 0.473170 0.535649 0.469545 0.512972 0.477844 0.433617 0.533656 0.577694 0.526848 0.520333 0.446751 0.659558 0.481923 0.520690 0.573690 0.499885 0.485499 0.431889 0.485781 0.571664
0.580483 0.547427 0.495733 0.488168 0.442786 0.526817 0.450845 0.436648 0.503893 0.584574 0.612515 0.493578 0.537071 0.513009 0.492320 0.653768 0.461150 0.551436 0.475738 0.959253 0.523624 0.564050 0.468361 0.564853 0.565105 0.477559 0.517783 0.549888 0.547857 0.517577 0.472761 0.536515 0.468819 0.513102 0.477422 0.432510 0.534314 0.577964 0.527261 0.520465 0.445643 0.661817 0.481581 0.520866 0.575031 0.499987 0.485457 0.430935 0.485360 0.572545
0.580702 0.547151 0.495896 0.487180 0.443255 0.526850 0.449716 0.436418 0.503807 0.585015 0.613884 0.493452 0.536709 0.513304 0.492184 0.654849 0.461547 0.552408 0.475502 0.960133 0.524610 0.563885 0.467279 0.565337 0.565047 0.477545 0.517682 0.550102 0.548008 0.518244 0.472607 0.536313 0.468877 0.512919 0.477689 0.432576 0.534306 0.578949 0.527146 0.520483 0.445599 0.662729 0.481478 0.520735 0.574689 0.499470 0.485163 0.430499 0.485270 0.572739
0.580615 0.547021 0.496036 0.486900 0.443269 0.526641 0.449142 0.435861 0.503638 0.585259 0.614553 0.493233 0.536412 0.513493 0.492079 0.655281 0.461606 0.552574 0.475369 0.960553 0.524867 0.563925 0.466770 0.565612 0.564655 0.477390 0.517628 0.550170 0.548039 0.518594 0.472594 0.536144 0.468662 0.512870 0.477861 0.432460 0.534183 0.578624 0.527058 0.520251 0.445382 0.663180 0.481222 0.520679 0.574627 0.499375 0.484961 0.430180 0.485184 0.572746
0.580499 0.547067 0.496067 0.487023 0.442942 0.526479 0.449150 0.435270 0.503535 0.585342 0.614628 0.493205 0.536377 0.513667 0.492125 0.655292 0.461483 0.552253 0.475342 0.960637 0.524737 0.564048 0.466821 0.565742 0.564452 0.477245 0.517633 0.550213 0.548126 0.518680 0.472630 0.536177 0.468461 0.512835 0.477837 0.432321 0.534177 0.577954 0.527101 0.519994 0.445184 0.663438 0.481179 0.520718 0.574804 0.499505 0.484980 0.430022 0.485079 0.572798
0.579850 0.546625 0.496156 0.486703 0.443471 0.526210 0.448963 0.435420 0.503405 0.584732 0.614565 0.493220 0.535747 0.513799 0.492179 0.654488 0.461983 0.552295 0.475337 0.960277 0.524901 0.563439 0.466566 0.565599 0.563657 0.477462 0.517465 0.549982 0.547875 0.518936 0.472877 0.535621 0.468775 0.512633 0.478143 0.432929 0.533790 0.577464 0.526887 0.519639 0.445688 0.662606 0.481395 0.520606 0.574026 0.499410 0.484977 0.430330 0.485197 0.572397
0.578707 0.546019 0.496245 0.486638 0.444167 0.525737 0.449096 0.435814 0.503227 0.583587 0.613895 0.493213 0.534858 0.513824 0.492266 0.652761 0.462594 0.551990 0.475423 0.959322 0.524717 0.562561 0.466570 0.565141 0.562353 0.477787 0.517231 0.549495 0.547354 0.519039 0.473333 0.534772 0.469211 0.512439 0.478555 0.433837 0.533127 0.576233 0.526562 0.519084 0.446480 0.660823 0.481675 0.520459 0.572914 0.499484 0.485044 0.431000 0.485447 0.571624
0.577416 0.545545 0.496223 0.487075 0.444566 0.525250 0.449872 0.436253 0.503112 0.582173 0.612480 0.493340 0.534161 0.513766 0.492484 0.650405 0.463012 0.551133 0.475626 0.957847 0.524030 0.561732 0.467178 0.564447 0.561107 0.478115 0.517033 0.548908 0.546797 0.518813 0.473880 0.534037 0.469653 0.512306 0.478813 0.434757 0.532494 0.574456 0.526336 0.518468 0.447325 0.658579 0.482116 0.520385 0.571969 0.499842 0.485325 0.431905 0.485721 0.570791
0.577426 0.546152 0.495793 0.488566 0.443212 0.525361 0.451680 0.435889 0.503411 0.581917 0.610667 0.493764 0.535068 0.513660 0.492945 0.649376 0.462135 0.549561 0.475841 0.956860 0.522649 0.562275 0.468908 0.564028 0.561829 0.477868 0.517165 0.548855 0.547019 0.517867 0.473957 0.534758 0.469404 0.512543 0.478186 0.434362 0.532876 0.573147 0.526853 0.518338 0.447066 0.658181 0.482540 0.520663 0.572960 0.500675 0.485978 0.432190 0.485591 0.571059
0.577737 0.546186 0.495493 0.488547 0.443247 0.525769 0.452069 0.436534 0.503811 0.581810 0.610302 0.494098 0.535403 0.513580 0.493199 0.649357 0.462150 0.549799 0.475805 0.956631 0.522728 0.562179 0.469164 0.563856 0.562648 0.477979 0.517101 0.548906 0.547166 0.517590 0.473853 0.535007 0.469713 0.512577 0.478032 0.434530 0.533118 0.574220 0.527080 0.518623 0.447341 0.658028 0.483030 0.520680 0.572905 0.500577 0.486258 0.432381 0.485586 0.571344
0.578434 0.546379 0.495307 0.488484 0.443090 0.526155 0.451918 0.436758 0.504118 0.582374 0.610669 0.494081 0.535831 0.513445 0.493207 0.650359 0.461897 0.550275 0.475648 0.957102 0.522919 0.562557 0.469008 0.563985 0.563557 0.477819 0.517110 0.549149 0.547405 0.517431 0.473557 0.535416 0.469565 0.512772 0.477896 0.434142 0.533424 0.575397 0.527279 0.519018 0.447065 0.658732 0.482954 0.520701 0.573266 0.500402 0.486241 0.432076 0.485473 0.571812
0.579217 0.546587 0.495277 0.488210 0.442985 0.526470 0.451349 0.436720 0.504258 0.583187 0.611552 0.493920 0.536162 0.513374 0.493066 0.651793 0.461695 0.550904 0.475466 0.957952 0.523317 0.563022 0.468528 0.564323 0.564293 0.477635 0.517173 0.549487 0.547665 0.517501 0.473219 0.535799 0.469285 0.512919 0.477826 0.433623 0.533710 0.576584 0.527372 0.519415 0.446623 0.659862 0.482649 0.520725 0.573686 0.500107 0.486036 0.431557 0.485322 0.572288
