Date,Close
13/08/2021,2380
16/08/2021,2390
18/08/2021,2400
19/08/2021,2270
20/08/2021,2280
23/08/2021,2290
24/08/2021,2270
25/08/2021,2300
26/08/2021,2270
27/08/2021,2260
30/08/2021,2310
31/08/2021,2390
1/9/2021,2390
2/9/2021,2320
3/9/2021,2350
6/9/2021,2380
7/9/2021,2350
8/9/2021,2320
9/9/2021,2440
10/9/2021,2590
13/09/2021,2520
14/09/2021,2470
15/09/2021,2490
16/09/2021,2410
17/09/2021,2400
20/09/2021,2350
21/09/2021,2360
22/09/2021,2340
23/09/2021,2290
24/09/2021,2290
27/09/2021,2290
28/09/2021,2270
29/09/2021,2310
30/09/2021,2290
1/10/2021,2220
4/10/2021,2310
5/10/2021,2300
6/10/2021,2300
7/10/2021,2330
8/10/2021,2340
11/10/2021,2420
12/10/2021,2370
13/10/2021,2340
14/10/2021,2420
15/10/2021,2470
18/10/2021,2510
19/10/2021,2530
21/10/2021,2450
22/10/2021,2430
25/10/2021,2420
26/10/2021,2400
27/10/2021,2350
28/10/2021,2320
29/10/2021,2340
1/11/2021,2330
2/11/2021,2310
3/11/2021,2320
4/11/2021,2380
5/11/2021,2360
8/11/2021,2370
9/11/2021,2340
10/11/2021,2340
11/11/2021,2370
12/11/2021,2400
15/11/2021,2390
16/11/2021,2380
17/11/2021,2350
18/11/2021,2330
19/11/2021,2390
22/11/2021,2370
23/11/2021,2400
24/11/2021,2440
25/11/2021,2440
26/11/2021,2340
29/11/2021,2330
30/11/2021,2300
1/12/2021,2270
2/12/2021,2340
3/12/2021,2340
6/12/2021,2320
7/12/2021,2340
8/12/2021,2330
9/12/2021,2330
10/12/2021,2320
13/12/2021,2320
14/12/2021,2290
15/12/2021,2280
16/12/2021,2290
17/12/2021,2250
20/12/2021,2220
21/12/2021,2260
22/12/2021,2250
23/12/2021,2240
24/12/2021,2280
27/12/2021,2300
28/12/2021,2260
29/12/2021,2270
30/12/2021,2250
3/1/2022,2340
4/1/2022,2300
5/1/2022,2270
6/1/2022,2230
7/1/2022,2230
10/1/2022,2220
11/1/2022,2080
12/1/2022,1935
13/01/2022,1965
